Applicant_ID,Age,Gender,Qualification_Level,Marks_Percentage,Experience_Years,Driving,Sales,Typing,Computer,Govt_Exam_Score,English_Proficiency,Computer_Proficiency,Physical_Fitness,Predicted_Job
A001,31,Female,Graduate,95,14,1,0,0,1,0,2,2,3,School Teacher
A002,37,Male,12th,74,3,0,1,1,0,0,2,3,5,Lab Assistant
A003,22,Other,Graduate,64,12,0,0,1,0,64,4,5,2,Sales Executive
A004,25,Male,10th,82,7,1,0,1,1,73,5,3,3,Delivery Boy
A005,22,Female,Postgrad,46,12,0,1,0,0,0,5,1,4,Lab Assistant
A006,28,Female,Graduate,77,0,1,1,0,1,0,2,3,5,School Teacher
A007,26,Other,12th,70,5,0,0,0,0,57,2,2,3,Sales Executive
A008,38,Male,12th,54,5,0,0,1,1,0,1,2,3,Clerk
A009,44,Female,Graduate,55,8,1,0,0,0,62,2,5,5,Lab Assistant
A010,43,Female,12th,85,8,1,0,1,0,72,2,1,2,Sales Executive
A011,44,Female,Postgrad,91,12,0,1,0,0,93,2,3,3,School Teacher
A012,39,Other,12th,73,6,1,1,1,1,0,1,2,5,Clerk
A013,36,Female,Postgrad,44,0,0,1,0,0,0,5,2,5,Security Guard
A014,28,Other,12th,94,2,0,0,1,1,0,1,3,3,Data Entry Operator
A015,37,Other,Postgrad,83,2,0,0,0,1,0,3,1,5,School Teacher
A016,19,Other,Graduate,94,1,0,1,0,0,0,5,4,4,Security Guard
A017,37,Other,Diploma,65,7,1,1,0,0,0,5,2,5,Sales Executive
A018,38,Male,Postgrad,68,13,0,1,1,0,0,5,2,5,Sales Executive
A019,41,Other,Postgrad,64,0,1,1,0,0,0,2,4,5,Lab Assistant
A020,19,Female,12th,90,2,0,1,1,0,60,5,5,3,Lab Assistant
A021,23,Other,Graduate,42,14,1,0,1,1,60,5,5,2,Delivery Boy
A022,36,Male,Diploma,56,6,1,0,0,1,0,1,5,2,Junior Engineer
A023,38,Female,12th,64,0,1,0,0,0,81,5,2,1,Apprentice
A024,33,Female,Graduate,68,9,1,0,0,0,82,4,3,3,School Teacher
A025,18,Male,Postgrad,93,2,0,0,0,1,0,3,4,3,School Teacher
A026,19,Male,Graduate,86,6,0,0,1,1,0,1,4,5,Data Entry Operator
A027,42,Female,Postgrad,67,2,0,0,1,0,78,2,2,4,School Teacher
A028,23,Other,Graduate,78,11,1,1,0,0,86,2,5,2,Delivery Boy
